Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
movie stay afloat thank hallucinatory production design,0.77778,7.7778,movi stay afloat thank hallucinatori product design,7
movie stick much closer hornby confessional tone film version high fidelity,0.55556,5.5556,movi stick much closer hornbi confession tone film version high fidel,11
movie strain stay light comic side issue despite difficulty deal destruction property potentially life,0.43056,4.3056,movi strain stay light comic side issu despit difficulti deal destruct properti potenti life,14
movie succumb nothing formulaic chase dark,0.26389,2.6389,movi succumb noth formula chase dark,6
movie suffer two fatal ailments dearth vitality story shapeless uninflected,0.125,1.25,movi suffer two fatal ailment dearth vital stori shapeless uninflect,10
movie try ethereal end seem goofy,0.51389,5.1389,movi tri ether end seem goofi,6
movie turn assayas homage gallic tradition quality fusty squareness,0.38889,3.8889,movi turn assaya homag gallic tradit qualiti fusti squar,9
movie understand like others depth breadth emotional intimacy give physical act mean pleasure,0.88889,8.8889,movi understand like other depth breadth emot intimaci give physic act mean pleasur,13
movie waver hallmark card sentimentality goofy moments straight cellular phone commercial,0.31944,3.1944,movi waver hallmark card sentiment goofi moment straight cellular phone commerci,11
movie weigh glass flat champagne,0.29167,2.9166999999999996,movi weigh glass flat champagn,5
moviegoing equivalent go dinner party force watch host host,0.40278,4.0278,moviego equival go dinner parti forc watch host host,9
moviegoing equivalent go dinner party force watch host host home video baby birth,0.097222,0.9722200000000001,moviego equival go dinner parti forc watch host host home video babi birth,13
mushy finale turn john tearjerker,0.625,6.25,mushi final turn john tearjerk,5
mystery enigma rich historical subject combine much talent could yield flat plod picture,0.27778,2.7778,mysteri enigma rich histor subject combin much talent could yield flat plod pictur,13
name say jackass vulgar version candid camera stag marquis sade set,0.125,1.25,name say jackass vulgar version candid camera stag marqui sade set,11
narrative consistently unimaginative probably way save film aid wisecrack mystery science theater guy,0.41667,4.1667,narr consist unimagin probabl way save film aid wisecrack mysteri scienc theater guy,13
new film anton chekhov the cherry orchard,0.63889,6.3889,new film anton chekhov cherri orchard,6
new film anton chekhov the cherry orchard put ick classic,0.38889,3.8889,new film anton chekhov cherri orchard put ick classic,9
next big thing directorial debut,0.56944,5.6944,next big thing directori debut,5
next generation mob movie part low rent godfather part three stooges,0.61111,6.1111,next gener mob movi part low rent godfath part three stoog,11
nicest thing say stealing harvard,0.59722,5.9722,nicest thing say steal harvard,5
nicest thing say stealing harvard might call freddy gets molested dog,0.26389,2.6389,nicest thing say steal harvard might call freddi get molest dog,11
nicest thing say stealing harvard might call freddy gets molested dog obnoxious tom green freddie got fingered,0.25,2.5,nicest thing say steal harvard might call freddi get molest dog obnoxi tom green freddi got finger,17
niftiest trick perpetrate the importance being earnest,0.77778,7.7778,niftiest trick perpetr import earnest,5
niftiest trick perpetrate the importance being earnest alchemical transmogrification wilde austen austen,0.48611,4.8610999999999995,niftiest trick perpetr import earnest alchem transmogrif wild austen austen,10
noble tradition men drag hit low sorority boys whose makers apparently believe women clothe cover deficiency act write direction,0.20833,2.0833,nobl tradit men drag hit low soror boy whose maker appar believ woman cloth cover defici act write direct,19
nonstop artifice ultimately prove tiresome surface histrionics fail compensate characterizations facile situations,0.16667,1.6667,nonstop artific ultim prove tiresom surfac histrion fail compens character facil situat,12
notion delete emotion people even advance prozac nation insanely dysfunctional rampantly design equilibrium become concept doofus,0.083333,0.83333,notion delet emot peopl even advanc prozac nation insan dysfunct rampantli design equilibrium becom concept doofu,16
notion bomb build funniest thing world,0.29167,2.9166999999999996,notion bomb build funniest thing world,6
notion bomb build funniest thing world go entirely unexamined startlingly unfunny comedy,0.11111,1.1111,notion bomb build funniest thing world go entir unexamin startlingli unfunni comedi,12
obligatory seem much emotional impact character,0.5,5.0,obligatori seem much emot impact charact,6
obnoxious special effect obligatory outbursts flatulence incessant pop music soundtrack,0.30556,3.0556,obnoxi special effect obligatori outburst flatul incess pop music soundtrack,10
obnoxious special effect obligatory outbursts flatulence incessant pop music soundtrack overwhelm leave scruffy dopey old charm,0.097222,0.9722200000000001,obnoxi special effect obligatori outburst flatul incess pop music soundtrack overwhelm leav scruffi dopey old charm,16
obnoxious title character provide drama give add clout doc,0.69444,6.9444,obnoxi titl charact provid drama give add clout doc,9
observations environment canny spice irony,0.75,7.5,observ environ canni spice ironi,5
one problem expecting entire exercise real point,0.38889,3.8889,one problem expect entir exercis real point,7
camouflage carvey consider paper bag wear head go public avoid recognize man bilk unsuspecting moviegoers,0.13889,1.3889,camouflag carvey consid paper bag wear head go public avoid recogn man bilk unsuspect moviego,15
element suspense whether movie change title distributors close credit roll,0.18056,1.8056,element suspens whether movi chang titl distributor close credit roll,10
entertainment derive choppy sloppy affair,0.15278,1.5278,entertain deriv choppi sloppi affair,5
entertainment derive choppy sloppy affair unintentional giggle several,0.125,1.25,entertain deriv choppi sloppi affair unintent giggl sever,8
excitement come credit finally roll get leave theater,0.069444,0.6944400000000001,excit come credit final roll get leav theater,8
fun part movie play obvious game you try guess order kid house gore,0.22222,2.2222,fun part movi play obviou game tri guess order kid hous gore,12
problem end one audience film seem really care,0.125,1.25,problem end one audienc film seem realli care,8
question determine well schmaltz manufacture assess quality manipulative engineer,0.38889,3.8889,question determin well schmaltz manufactur ass qualiti manipul engin,9
question determine well schmaltz manufacture assess quality manipulative engineer average best afraid,0.375,3.75,question determin well schmaltz manufactur ass qualiti manipul engin averag best afraid,12
reason see movie case masochism hour half blow,0.22222,2.2222,reason see movi case masoch hour half blow,8
thing laugh people pay see,0.30556,3.0556,thing laugh peopl pay see,5
thing sweep away one hour minutes,0.44444,4.4444,thing sweep away one hour minut,6
thing pauline paulette see scene feature football oriental rug,0.40278,4.0278,thing paulin paulett see scene featur footbal orient rug,9
thing pauline paulette see scene feature football oriental rug craft millions vibrant flower,0.375,3.75,thing paulin paulett see scene featur footbal orient rug craft million vibrant flower,13
thing scary feardotcom filmmakers studio brazen enough attempt pass stinker scary movie,0.055556,0.55556,thing scari feardotcom filmmak studio brazen enough attempt pas stinker scari movi,12
thing could possibly make less interest already,0.36111,3.6111,thing could possibl make le interest alreadi,7
thing could possibly make less interest already get full montied scrappy jovial team,0.26389,2.6389,thing could possibl make le interest alreadi get full monti scrappi jovial team,13
thing distinguish randall wallace film,0.51389,5.1389,thing distinguish randal wallac film,5
thing distinguish randall wallace film fact nothing distinguish randall wallace film,0.15278,1.5278,thing distinguish randal wallac film fact noth distinguish randal wallac film,11
thing worse substandard hollywood picture,0.23611,2.3611,thing wors substandard hollywood pictur,5
thing worse substandard hollywood picture attempt profound,0.083333,0.83333,thing wors substandard hollywood pictur attempt profound,7
time crazy nights come close hit comedic satirical target,0.38889,3.8889,time crazi night come close hit comed satir target,9
time crazy nights come close hit comedic satirical target offbeat musical number,0.51389,5.1389,time crazi night come close hit comed satir target offbeat music number,12
type live glossy resemble ones formulaic mainstream movies,0.38889,3.8889,type live glossi resembl one formula mainstream movi,8
upside unpleasantness give labor day weekend upload feardotcom log minimal number hit,0.41667,4.1667,upsid unpleas give labor day weekend upload feardotcom log minim number hit,12
way supernatural could give anyone case fright,0.19444,1.9444,way supernatur could give anyon case fright,7
way supernatural could give anyone case fright put sleep movie nightmare,0.055556,0.55556,way supernatur could give anyon case fright put sleep movi nightmar,11
way tolerate insipid brutally clueless film,0.22222,2.2222,way toler insipid brutal clueless film,6
way tolerate insipid brutally clueless film might large dose painkillers,0.027778,0.27778,way toler insipid brutal clueless film might larg dose painkil,10
young people possibly enjoy infants might distract movie quick movements sound,0.34722,3.4722,young peopl possibl enjoy infant might distract movi quick movement sound,11
origin story well tell character disappoint anyone value original comic book action scenes things fall apart,0.625,6.25,origin stori well tell charact disappoint anyon valu origin comic book action scene thing fall apart,16
overall effect awe affection strange urge get board shred dude,0.80556,8.0556,overal effect awe affect strang urg get board shred dude,10
overall effect less like children movie recruitment film future hollywood sellouts,0.29167,2.9166999999999996,overal effect le like child movi recruit film futur hollywood sellout,11
overall effect completely inane one would mighty bore even think stay say ten make three minutes,0.16667,1.6667,overal effect complet inan one would mighti bore even think stay say ten make three minut,16
overall result intelligent realistic portrayal test boundaries,0.83333,8.3333,overal result intellig realist portray test boundari,7
overall vibe druggy like orgy pretentious arts major,0.29167,2.9166999999999996,overal vibe druggi like orgi pretenti art major,8
package fascinate timely content come wrap,0.63889,6.3889,packag fascin time content come wrap,6
package fascinate timely content come wrap disappointingly generic,0.25,2.5,packag fascin time content come wrap disappointingli gener,8
pain loneliness insecurity screenwriting process,0.5,5.0,pain loneli insecur screenwrit process,5
pain loneliness insecurity screenwriting process vividly painfully bring slovenly life bite witty feature write charlie kaufman twin brother donald direct spike jonze,0.76389,7.6389,pain loneli insecur screenwrit process vividli pain bring slovenli life bite witti featur write charli kaufman twin brother donald direct spike jonz,22
part nothing happen part something happen,0.34722,3.4722,part noth happen part someth happen,6
part better whole bizarre funny tragic like love new york,0.44444,4.4444,part better whole bizarr funni tragic like love new york,10
party scenes deliver tawdry kick,0.44444,4.4444,parti scene deliv tawdri kick,5
passions arouse discord old new culture,0.61111,6.1111,passion arous discord old new cultur,6
passions arouse discord old new culture set strange stark beauty mideast desert lovingly perceptively film almost taste desiccate air,0.88889,8.8889,passion arous discord old new cultur set strang stark beauti mideast desert lovingli percept film almost tast desicc air,19
path ice age follow closely,0.5,5.0,path ice age follow close,5
path ice age follow closely though one establish warner bros giant chuck jones die matter weeks movie release,0.45833,4.5833,path ice age follow close though one establish warner bro giant chuck jone die matter week movi releas,18
path ice age follow closely though one establish warner giant chuck jones die matter weeks movie release,0.54167,5.4167,path ice age follow close though one establish warner giant chuck jone die matter week movi releas,17
people abc africa treat docile mostly wordless ethnographic extras,0.48611,4.8610999999999995,peopl abc africa treat docil mostli wordless ethnograph extra,9
people dogtown funny aggressive alive,0.88889,8.8889,peopl dogtown funni aggress aliv,5
people dogtown funny aggressive alive watch wait see next,0.86111,8.6111,peopl dogtown funni aggress aliv watch wait see next,9
people jessica recognizable true real life never sure things work,0.61111,6.1111,peopl jessica recogniz true real life never sure thing work,10
performances strong though subject matter demand act border hammy time,0.68056,6.8056,perform strong though subject matter demand act border hammi time,10
performances children untrained act honesty dignity break heart,0.72222,7.2222,perform child untrain act honesti digniti break heart,8
performances four main actresses bring character life,0.75,7.5,perform four main actress bring charact life,7
performances four main actresses bring character life little melodramatic enough hope keep engage,0.68056,6.8056,perform four main actress bring charact life littl melodramat enough hope keep engag,13
performances take movie higher level,0.875,8.75,perform take movi higher level,5
performers spot hard conceive anyone else roles,0.90278,9.027800000000001,perform spot hard conceiv anyon el role,7
period swing london time mods rockers,0.51389,5.1389,period swing london time mod rocker,6
photographer tell stance admirable make problematic documentary subject,0.51389,5.1389,photograph tell stanc admir make problemat documentari subject,8
picture fascinate byways litter trenchant satirical jab peculiar egocentricities act breed,0.66667,6.6667,pictur fascin byway litter trenchant satir jab peculiar egocentr act breed,11
picture score perversely cheerful marcus miller abomination monument bad florid variety,0.25,2.5,pictur score pervers cheer marcu miller abomin monument bad florid varieti,11
picture primer happen lack mix lack,0.31944,3.1944,pictur primer happen lack mix lack,6
picture run mere minutes glance thoughtfully write beautifully read finally deeply humanize,0.91667,9.1667,pictur run mere minut glanc thought write beauti read final deepli human,12
picture seem uncertain whether want acidic all about eve lush swoon melodrama intermezzo strain,0.34722,3.4722,pictur seem uncertain whether want acid eve lush swoon melodrama intermezzo strain,12
piece play well thank large measure anspaugh three lead actresses,0.79167,7.9167,piec play well thank larg measur anspaugh three lead actress,10
piquant story need dramatic meat bone,0.31944,3.1944,piquant stori need dramat meat bone,6
pitch must read like discard house beautiful spread,0.5,5.0,pitch must read like discard hous beauti spread,8
pivotal narrative point ripe film help soft stinky,0.26389,2.6389,pivot narr point ripe film help soft stinki,8
plan make enough inspire tale survival wrap suspense stylish psychological thriller,0.5,5.0,plan make enough inspir tale surviv wrap suspens stylish psycholog thriller,11
plan make enough inspire tale survival wrap suspense stylish psychological thriller flop surely go wrong,0.15278,1.5278,plan make enough inspir tale surviv wrap suspens stylish psycholog thriller flop sure go wrong,15
pleasure read lips like see series perfect black pearl click together form string,0.875,8.75,pleasur read lip like see seri perfect black pearl click togeth form string,13
pleasure read lips like see series perfect black pearl click together form string draw dark luster,0.79167,7.9167,pleasur read lip like see seri perfect black pearl click togeth form string draw dark luster,16
pleasures afford may enough keep many moviegoers,0.72222,7.2222,pleasur afford may enough keep mani moviego,7
pleasures afford may enough keep many moviegoers occupy amidst concern movies,0.69444,6.9444,pleasur afford may enough keep mani moviego occupi amidst concern movi,11
plot clearly mythic structure may owe disney strong sense formula original story,0.44444,4.4444,plot clearli mythic structur may owe disney strong sen formula origin stori,12
plot clearly mythic structure may owe disney strong sense formula original story but,0.51389,5.1389,plot clearli mythic structur may owe disney strong sen formula origin stori,12
plot combine the blues brothers almost famous bear rat excruciate dollop disney sentimentality mix good measure,0.45833,4.5833,plot combin blue brother almost famou bear rat excruci dollop disney sentiment mix good measur,15
plot convolutions ultimately add nothing jerk audience chain,0.16667,1.6667,plot convolut ultim add noth jerk audienc chain,8
plot nothing boilerplate start finish script assume would subtlety lose target audience also stupid realize already see exact movie hundred time,0.125,1.25,plot noth boilerpl start finish script assum would subtleti lose target audienc also stupid realiz alreadi see exact movi hundr time,21
plot plaster one hollywood cliche another involve precocious kid get better obnoxious adults,0.22222,2.2222,plot plaster one hollywood clich anoth involv precoci kid get better obnoxi adult,13
plot romantic comedy boilerplate start finish,0.45833,4.5833,plot romant comedi boilerpl start finish,6
plot straight shelf performances television caliber message provide solace deception little creepy,0.20833,2.0833,plot straight shelf perform televis calib messag provid solac decept littl creepi,12
plot meander grip plod back,0.51389,5.1389,plot meander grip plod back,5
plot plummet comedy graveyard janice come race rescue final reel,0.44444,4.4444,plot plummet comedi graveyard janic come race rescu final reel,10
plot twist give trying break your heart attraction desperately need,0.625,6.25,plot twist give tri break heart attract desper need,9
powder blue white tunis make allure backdrop sensuous spirit tale prim widow find unlikely release club,0.68056,6.8056,powder blue white tuni make allur backdrop sensuou spirit tale prim widow find unlik releas club,16
power shanghai ghetto documentary dana amir mann rest voice men women live,0.68056,6.8056,power shanghai ghetto documentari dana amir mann rest voic men woman live,12
power script performances come whole damn thing get moral hackle,0.40278,4.0278,power script perform come whole damn thing get moral hackl,10
powerful success read lips provocative material,0.66667,6.6667,power success read lip provoc materi,6
powerful success read lips provocative material show three film jacques audiard though little know country belong top rank french filmmakers,0.63889,6.3889,power success read lip provoc materi show three film jacqu audiard though littl know countri belong top rank french filmmak,20
predominantly amateur cast painful watch stilted unconvincing,0.11111,1.1111,predominantli amateur cast pain watch stilt unconvinc,7
predominantly amateur cast painful watch stilted unconvincing performances,0.15278,1.5278,predominantli amateur cast pain watch stilt unconvinc perform,8
premise overshadow uberviolence clericks become another movie silly action sequence,0.31944,3.1944,premis overshadow uberviol clerick becom anoth movi silli action sequenc,10
premise jason silly strangely believable,0.66667,6.6667,premis jason silli strang believ,5
pretensions disposable story sink movie,0.27778,2.7778,pretens dispos stori sink movi,5
pretensions disposable story sink movie and,0.18056,1.8056,pretens dispos stori sink movi,5
primitive force film seem bubble vast collective memory combatants,0.72222,7.2222,primit forc film seem bubbl vast collect memori combat,9
primitive force film seem bubble vast collective memory combatants like watch nightmare make flesh,0.66667,6.6667,primit forc film seem bubbl vast collect memori combat like watch nightmar make flesh,14
problem movie hit close home much hit close home engage silliness business inevitable shoot schwarzenegger outrun fireball,0.26389,2.6389,problem movi hit close home much hit close home engag silli busi inevit shoot schwarzenegg outrun firebal,17
problem derivative plenty funny movies recycle old tropes,0.43056,4.3056,problem deriv plenti funni movi recycl old trope,8
problem derivative plenty funny movies recycle old tropes the problem van wilder little actually funny material,0.11111,1.1111,problem deriv plenti funni movi recycl old trope problem van wilder littl actual funni materi,15
problem van wilder little actually funny material,0.25,2.5,problem van wilder littl actual funni materi,7
problem one allow churn one mediocre movie another,0.18056,1.8056,problem one allow churn one mediocr movi anoth,8
problem needlessly poor quality archival print film footage the image lack contrast murky frequently dark decipherable,0.22222,2.2222,problem needlessli poor qualiti archiv print film footag imag lack contrast murki frequent dark decipher,15
problem the bread sweet far sentimental,0.33333,3.3333000000000004,problem bread sweet far sentiment,5
problem concept film concept poor one save movie,0.22222,2.2222,problem concept film concept poor one save movi,8
problem concept film concept poor one save movie sorry charlie,0.34722,3.4722,problem concept film concept poor one save movi sorri charli,10
problem movies angels tendency slip hokum,0.36111,3.6111,problem movi angel tendenc slip hokum,6
problem mayhem formula offensive bore,0.30556,3.0556,problem mayhem formula offens bore,5
problem film force make character idiots order advance plot,0.23611,2.3611,problem film forc make charact idiot order advanc plot,9
problem film force make character idiots order advance plot had anyone do anything remotely intelligent,0.38889,3.8889,problem film forc make charact idiot order advanc plot anyon anyth remot intellig,13
problem film force make character idiots order advance plot had anyone do anything remotely intelligent could stop watch long ago,0.19444,1.9444,problem film forc make charact idiot order advanc plot anyon anyth remot intellig could stop watch long ago,18
problematic character overly convenient plot twist,0.16667,1.6667,problemat charact overli conveni plot twist,6
problematic character overly convenient plot twist foul shum good intentions,0.27778,2.7778,problemat charact overli conveni plot twist foul shum good intent,10
problems people love time money,0.5,5.0,problem peopl love time money,5
problems people love time money hardly specific era,0.48611,4.8610999999999995,problem peopl love time money hardli specif era,8
problems people love time money hardly specific era they problems neither original present convince way,0.22222,2.2222,problem peopl love time money hardli specif era problem neither origin present convinc way,14
production design score choreography simply intoxicate,0.98611,9.8611,product design score choreographi simpli intox,6
production value highest performances attractive without memorable,0.63889,6.3889,product valu highest perform attract without memor,7
production value the use cgi digital make thing look really slick the voice fine well the problem things,0.56944,5.6944,product valu use cgi digit make thing look realli slick voic fine well problem thing,15
production value the use cgi digital make thing look really slick the voice fine well the problem things script,0.52778,5.2778,product valu use cgi digit make thing look realli slick voic fine well problem thing script,16
project filmmakers forget include anything even halfway scary poorly rejigger fatal attraction high school set,0.16667,1.6667,project filmmak forget includ anyth even halfway scari poorli rejigg fatal attract high school set,15
punch line miss unfortunately outnumber hit,0.375,3.75,punch line miss unfortun outnumb hit,6
punch line miss unfortunately outnumber hit but,0.20833,2.0833,punch line miss unfortun outnumb hit,6
quality art combine humor intelligence script,0.75,7.5,qualiti art combin humor intellig script,6
quality art combine humor intelligence script allow filmmakers present biblical message forgiveness without ever become preachy syrupy,0.77778,7.7778,qualiti art combin humor intellig script allow filmmak present biblic messag forgiv without ever becom preachi syrupi,17
question hang the time machine main character suggest,0.5,5.0,question hang time machin main charact suggest,7
question hang the time machine main character suggest rather how charge money,0.055556,0.55556,question hang time machin main charact suggest rather charg money,10
quirky recessive charm martin donovan parker,0.77778,7.7778,quirki recess charm martin donovan parker,6
quirky recessive charm martin donovan parker help overcome problematic script,0.65278,6.5278,quirki recess charm martin donovan parker help overcom problemat script,10
quirky drama touch heart funnybone thank energetic always surprise performance rachel griffiths,0.83333,8.3333,quirki drama touch heart funnybon thank energet alway surpris perform rachel griffith,12
rare imax movie wish longer hour,0.73611,7.3611,rare imax movi wish longer hour,6
ron howard apollo imax format prove absolutely really really really good things come enormous package,0.625,6.25,ron howard apollo imax format prove absolut realli realli realli good thing come enorm packag,15
real charm trifle deadpan comic face star jean reno resemble sly stallone hot sake,0.55556,5.5556,real charm trifl deadpan comic face star jean reno resembl sli stallon hot sake,14
real triumph igby come philippe make oliver far interest character line would suggest sarandon could better cruel weirdly likable wasp matron,0.77778,7.7778,real triumph igbi come philipp make oliv far interest charact line would suggest sarandon could better cruel weirdli likabl wasp matron,21
reality new pinocchio direct cowrote star border grotesque,0.20833,2.0833,realiti new pinocchio direct cowrot star border grotesqu,8
reason find finally unmoved film immaculately produce serious things say come across rather plainly allegory,0.5,5.0,reason find final unmov film immacul produc seriou thing say come across rather plainli allegori,15
reason picture work better predecessors myers longer simply spoof spy movies,0.75,7.5,reason pictur work better predecessor myer longer simpli spoof spi movi,11
reason keep see movie roughly people every year,0.34722,3.4722,reason keep see movi roughli peopl everi year,8
reason keep see movie roughly people every year many keep go embarrassment stupidity warn anyone,0.26389,2.6389,reason keep see movi roughli peopl everi year mani keep go embarrass stupid warn anyon,15
record session part film enlighten appreciative depend level fandom,0.55556,5.5556,record session part film enlighten appreci depend level fandom,9
respective charm sandra bullock hugh grant,0.79167,7.9167,respect charm sandra bullock hugh grant,6
respective charm sandra bullock hugh grant wear threadbare,0.5,5.0,respect charm sandra bullock hugh grant wear threadbar,8
rest plot impossible explain without blow whatever tension although comedy suspense palma create,0.51389,5.1389,rest plot imposs explain without blow whatev tension although comedi suspens palma creat,13
rest run mildly unimpressive despairingly awful,0.19444,1.9444,rest run mildli unimpress despairingli aw,6
result however ironically sort disposable homage illustrate whole often less sum part today hollywood,0.18056,1.8056,result howev iron sort dispos homag illustr whole often le sum part today hollywood,14
result gaudy bag stale candy something halloween die,0.31944,3.1944,result gaudi bag stale candi someth halloween die,8
result powerful naturally dramatic piece filmmaking,0.84722,8.472199999999999,result power natur dramat piec filmmak,6
result action film mire stasis,0.27778,2.7778,result action film mire stasi,5
result good gossip entertainingly deliver yet distinctly musty odour expiry date long go,0.47222,4.7222,result good gossip entertainingli deliv yet distinctli musti odour expiri date long go,13
result mesmerize fill menace squalor,0.69444,6.9444,result mesmer fill menac squalor,5
result tame even slightly kid would quickly change channel,0.25,2.5,result tame even slightli kid would quickli chang channel,9
result solemn horrify yet strangely detach,0.33333,3.3333000000000004,result solemn horrifi yet strang detach,6
result something quite fresh delightful,0.875,8.75,result someth quit fresh delight,5
result somewhat satisfy still come spielberg never make anything least watchable but,0.66667,6.6667,result somewhat satisfi still come spielberg never make anyth least watchabl,11
result might look like vulgar,0.5,5.0,result might look like vulgar,5
result put human face derrida make one great mind time interest accessible people normally could care less,0.79167,7.9167,result put human face derrida make one great mind time interest access peopl normal could care le,17
rich performances friel especially williams american actress become fully english,0.75,7.5,rich perform friel especi william american actress becom fulli english,10
rich performances friel especially williams american actress become fully english round square edge,0.72222,7.2222,rich perform friel especi william american actress becom fulli english round squar edg,13
rollerball sequence feel sanitise stagey,0.26389,2.6389,rollerbal sequenc feel sanitis stagey,5
sad thing knockaround guys lame aspiration grasp coolness vibes fact film flippant slick think,0.38889,3.8889,sad thing knockaround guy lame aspir grasp cool vibe fact film flippant slick think,14
satire unfocused story go nowhere,0.15278,1.5278,satir unfocus stori go nowher,5
saturation bomb reggio image glass evocative music,0.61111,6.1111,satur bomb reggio imag glass evoc music,7
saturation bomb reggio image glass evocative music ultimately leave viewers task divine mean,0.25,2.5,satur bomb reggio imag glass evoc music ultim leav viewer task divin mean,13
screenplay director imogen kimmel lack wit necessary fully exploit comic elements premise make proceed bizarre actually amuse,0.27778,2.7778,screenplay director imogen kimmel lack wit necessari fulli exploit comic element premis make proceed bizarr actual amus,17
screenplay james eric james horton director peter,0.51389,5.1389,screenplay jame eric jame horton director peter,7
screenplay james eric james horton director peter pat make teeth hurt,0.25,2.5,screenplay jame eric jame horton director peter pat make teeth hurt,11
screenplay come across rather unintentionally,0.43056,4.3056,screenplay come across rather unintent,5
screenplay much meander norton recite bland police procedural detail fiennes wander around attempt seem weird distance,0.18056,1.8056,screenplay much meander norton recit bland polic procedur detail fienn wander around attempt seem weird distanc,16
screenplay much meander norton recite bland police procedural detail fiennes wander around attempt seem weird distance hopkins look like drag queen,0.20833,2.0833,screenplay much meander norton recit bland polic procedur detail fienn wander around attempt seem weird distanc hopkin look like drag queen,21
screenplay flounder weight many story line,0.29167,2.9166999999999996,screenplay flounder weight mani stori line,6
screenplay hugely overwrite tons tons dialogue give children,0.375,3.75,screenplay huge overwrit ton ton dialogu give child,8
screenplay sabotage movie strengths almost every juncture,0.22222,2.2222,screenplay sabotag movi strength almost everi junctur,7
screenwriters dig deeper every time,0.23611,2.3611,screenwrit dig deeper everi time,5
script judgment sense weight way way,0.16667,1.6667,script judgment sen weight way way,6
script become lifeless fall apart like cheap lawn chair,0.33333,3.3333000000000004,script becom lifeless fall apart like cheap lawn chair,9
script cover huge heavy topics bland surfacey way offer insight instance good things happen bad people,0.26389,2.6389,script cover huge heavi topic bland surfacey way offer insight instanc good thing happen bad peopl,16
script fall back many shenanigans hardly distinguish next teen comedy,0.125,1.25,script fall back mani shenanigan hardli distinguish next teen comedi,10
script feel start explore obvious voyeuristic potential hypertime back producers saw gross spy kids,0.40278,4.0278,script feel start explor obviou voyeurist potenti hypertim back produc saw gross spi kid,14
script disaster cloy message irksome character,0.36111,3.6111,script disast cloy messag irksom charact,6
script tire one moments joy rise stale material,0.20833,2.0833,script tire one moment joy rise stale materi,8
script high squaddie banter low shock,0.66667,6.6667,script high squaddi banter low shock,6
script smart dark hallelujah small favor,0.72222,7.2222,script smart dark hallelujah small favor,6
script manage rare trick seem refreshingly different reassuringly familiar,0.69444,6.9444,script manag rare trick seem refreshingli differ reassuringli familiar,9
scriptwriters less menace society film character,0.27778,2.7778,scriptwrit le menac societi film charact,6
search redemption make touch love story mainly blanchett ribisi compellingly tap spiritual aspect character suffer,0.88889,8.8889,search redempt make touch love stori mainli blanchett ribisi compellingli tap spiritu aspect charact suffer,15
seaside splendor shallow beautiful people,0.73611,7.3611,seasid splendor shallow beauti peopl,5
seaside splendor shallow beautiful people nice look wait story get go,0.43056,4.3056,seasid splendor shallow beauti peopl nice look wait stori get go,11
second chapter harry potter series,0.5,5.0,second chapter harri potter seri,5
second chapter harry potter series even magical first simply best family film year,0.875,8.75,second chapter harri potter seri even magic first simpli best famili film year,13
secrets time travel discover indulge reject bore see piece crap,0.0,0.0,secret time travel discov indulg reject bore see piec crap,10
sentimental cliches mar otherwise excellent film,0.61111,6.1111,sentiment clich mar otherwis excel film,6
sentimental cliches mar otherwise excellent film powerful performance mel gibson brutal battle sequence everything issue,0.83333,8.3333,sentiment clich mar otherwis excel film power perform mel gibson brutal battl sequenc everyth issu,15
sequel turn completely irrevocably bizarre point utter nonsense,0.16667,1.6667,sequel turn complet irrevoc bizarr point utter nonsens,8
sequel play like flimsy excuse give blade fan another look wesley snipes iconic hero battle dozens bad guy,0.375,3.75,sequel play like flimsi excus give blade fan anoth look wesley snipe icon hero battl dozen bad guy,18
series message make right choice face tempt alternatives,0.625,6.25,seri messag make right choic face tempt altern,8
series message make right choice face tempt alternatives remain prominent girls amuse personalities,0.76389,7.6389,seri messag make right choic face tempt altern remain promin girl amus person,13
set turn interest character dramas never reach satisfy conclusions,0.34722,3.4722,set turn interest charact drama never reach satisfi conclus,9
sheer dumbness plot one good idea movie inescapable air sleaziness,0.19444,1.9444,sheer dumb plot one good idea movi inescap air sleazi,10
sheer dumbness plot one good idea movie inescapable air sleaziness get,0.13889,1.3889,sheer dumb plot one good idea movi inescap air sleazi get,11
sheer joy pride take work,0.79167,7.9167,sheer joy pride take work,5
sheer joy pride take work shin every frame,0.79167,7.9167,sheer joy pride take work shin everi frame,8
sight spaceship launch pad duly impressive imax dimension shots astronauts float cabin,0.77778,7.7778,sight spaceship launch pad duli impress imax dimens shot astronaut float cabin,12
simplicity the way home equal side aesop,0.5,5.0,simplic way home equal side aesop,6
sinister inspiration fuel devito early work,0.56944,5.6944,sinist inspir fuel devito earli work,6
sinister inspiration fuel devito early work confuse death smoochy something ugly mindless,0.19444,1.9444,sinist inspir fuel devito earli work confus death smoochi someth ugli mindless,12
situations joke predictable lowbrow endless pratfalls boys take high heel,0.23611,2.3611,situat joke predict lowbrow endless pratfal boy take high heel,10
skirmish power wag among victims predators settle undistinguished rhythm artificial suspense,0.33333,3.3333000000000004,skirmish power wag among victim predat settl undistinguish rhythm artifici suspens,11
superheroics kinetic enough engross even antsy youngsters,0.875,8.75,superhero kinet enough engross even antsi youngster,7
smash crash shoot end come nowhere substitute mayhem suspense,0.52778,5.2778,smash crash shoot end come nowher substitut mayhem suspens,9
